method,checkpoint,n_total_picks,hit_rate,base_rate,lift,n_total_top5,hit_rate_top5,lift_top5,lift_delta_vs_B0,lift_delta_vs_B1
S2_market_filter,09:25,1340,0.7094438044034818,0.3942493356529719,0.31519446875050994,1105,0.7200268817204301,0.32577754606745823,-0.020798131080389137,-0.04513408858166923
S2_market_filter,09:45,1434,0.7554419482846902,0.3942493356529719,0.3611926126317183,1140,0.7778897849462365,0.3836404492932647,-0.0038322452636969095,-0.04452924987199186
S2_market_filter,10:00,1455,0.7792194700460829,0.3942493356529719,0.38497013439311106,1142,0.8004704301075269,0.40622109445455495,0.010671082949308741,-0.035202252944188384
S2_market_filter,10:15,1480,0.7985727086533538,0.3942493356529719,0.40432337300038196,1155,0.8170698924731182,0.4228205568201464,0.017121095750128046,-0.03217325908858165
S2_market_filter,10:30,1516,0.8011040706605222,0.3942493356529719,0.40685473500755037,1173,0.8180779569892472,0.4238286213362754,0.016829877112135128,-0.04056739631336409
S2_market_filter,10:45,1524,0.8065860215053763,0.3942493356529719,0.4123366858524044,1178,0.8225806451612904,0.4283313095083184,0.015860215053763393,-0.041482654889912984
S2_market_filter,11:00,1519,0.8136024705581157,0.3942493356529719,0.4193531349051438,1167,0.830981182795699,0.43673184714272706,0.01723150281618019,-0.04130024321556586
S2_market_filter,11:15,1516,0.8176859318996416,0.3942493356529719,0.4234365962466697,1170,0.8358870967741936,0.44163776112122166,0.01808915770609315,-0.045073284690220206
S2_market_filter,11:30,1523,0.8184395801331285,0.3942493356529719,0.42419024448015663,1174,0.8355510752688172,0.4413017396158453,0.0164234511008704,-0.04825268817204298
S2_market_rank,09:25,2480,0.730241935483871,0.3942493356529719,0.3359925998308991,1240,0.7346774193548388,0.3404280837018668,0.0,-0.024335957501280092
S2_market_rank,09:45,2480,0.7592741935483871,0.3942493356529719,0.3650248578954152,1240,0.8080645161290323,0.41381518047606036,0.0,-0.04069700460829495
S2_market_rank,10:00,2480,0.7685483870967742,0.3942493356529719,0.3742990514438023,1240,0.8233870967741935,0.42913776112122165,0.0,-0.045873335893497125
S2_market_rank,10:15,2480,0.7814516129032258,0.3942493356529719,0.3872022772502539,1240,0.8411290322580645,0.44687969660509264,0.0,-0.0492943548387097
S2_market_rank,10:30,2480,0.7842741935483871,0.3942493356529719,0.39002485789541524,1240,0.8467741935483871,0.4525248578954152,0.0,-0.05739727342549922
S2_market_rank,10:45,2480,0.7907258064516128,0.3942493356529719,0.396476470798641,1240,0.8524193548387097,0.4581700191857378,0.0,-0.05734286994367638
S2_market_rank,11:00,2480,0.7963709677419355,0.3942493356529719,0.4021216320889636,1240,0.8564516129032258,0.4622022772502539,0.0,-0.058531746031746046
S2_market_rank,11:15,2480,0.7995967741935485,0.3942493356529719,0.40534743854057653,1240,0.8556451612903225,0.46139582563735065,0.0,-0.06316244239631336
S2_market_rank,11:30,2480,0.802016129032258,0.3942493356529719,0.40776679337928623,1240,0.8653225806451613,0.4710732449921894,0.0,-0.06467613927291338
S3_both_filter,09:25,1095,0.696063748079877,0.3942493356529719,0.3018144124269052,1026,0.6974462365591398,0.30319690090616785,-0.034178187403993865,-0.05851414490527396
S3_both_filter,09:45,1182,0.7467197900665642,0.3942493356529719,0.3524704544135923,1072,0.7554435483870967,0.3611942127341249,-0.012554403481822907,-0.05325140809011786
S3_both_filter,10:00,1189,0.7622503840245776,0.3942493356529719,0.36800104837160563,1075,0.7744623655913978,0.380213029938426,-0.0062980030721966895,-0.052171338965693814
S3_both_filter,10:15,1181,0.776643305171531,0.3942493356529719,0.38239396951855903,1064,0.7849462365591398,0.3906969009061679,-0.004808307731694883,-0.05410266257040458
S3_both_filter,10:30,1208,0.7855350742447517,0.3942493356529719,0.3912857385917798,1079,0.7887096774193548,0.39446034176638295,0.0012608806963645414,-0.056136392729134676
S3_both_filter,10:45,1207,0.7961293522785458,0.3942493356529719,0.40188001662557393,1081,0.8014112903225806,0.40716195466960875,0.005403545826932921,-0.05193932411674346
S3_both_filter,11:00,1214,0.8002784178187404,0.3942493356529719,0.4060290821657685,1083,0.8080645161290323,0.41381518047606036,0.003907450076804875,-0.05462429595494117
S3_both_filter,11:15,1224,0.8043138760880697,0.3942493356529719,0.4100645404350977,1090,0.8108198924731184,0.4165705568201464,0.004717101894521181,-0.058445340501792176
